time,high,low,open,volumefrom,volumeto,close
2018-02-15,12792.29,11593.02,11818.96,1101.64,13492540.51,12716.65
2018-02-16,12862.84,12133.34,12716.65,485.8,6153236.94,12716.91
2018-02-17,14383.58,12708.96,12716.91,839.7,11393280.65,14206.45
2018-02-18,14432.13,13272.71,14206.45,839.12,11446677.58,13418.97
2018-02-19,14317.4,13217.88,13418.97,403.19,5511691.34,14007.73
2018-02-20,14853.58,13757.79,14007.73,645.8,9179289.36,14036.15
2018-02-21,14205.79,13003.37,14036.15,685.89,9317770.76,13332.53
2018-02-22,13958.74,12436.74,13332.53,606.96,7964095.51,12638.05
2018-02-23,13305.92,12292.21,12595.64,435.66,5604367.61,13080.98
2018-02-24,13498.09,12220.27,13080.98,384.1,4892135.59,12654.56
2018-02-25,12818.83,11848.81,12654.56,456.83,5552133.45,12243.6
2018-02-26,13239.76,11860.65,12243.6,474.8,6075732.49,12912.29
2018-02-27,13793.16,12753.02,12960.47,653.04,8760235.15,13503.42
2018-02-28,14034.95,12720.39,13502.05,341.93,4540823.45,12742.83
2018-03-01,13936.58,12621.15,12742.83,559.67,7546672.98,13840.44
2018-03-02,14182.78,13609.31,13842.72,369.84,5150797.78,14033.46
2018-03-03,15051.12,13906.28,14033.46,519.44,7432515.63,14498.84
2018-03-04,14664.25,13934.79,14498.84,333.15,4712106.69,14387.58
2018-03-05,14824.04,14323.57,14387.58,370.91,5430343.56,14701.59
2018-03-06,14765.61,13745.33,14701.59,785.51,11046932.51,13878.62
2018-03-07,14007.0,12697.02,13878.62,1049.43,14031586.97,13168.43
2018-03-08,13403.22,12470.41,13168.43,738.51,9384021.34,12510.19
2018-03-09,12984.33,11586.33,12510.12,1101.92,13261115.35,12550.95
2018-03-10,12931.66,11596.87,12620.04,664.36,8065657.35,11892.97
2018-03-11,12942.23,11256.25,11892.97,398.39,4835103.84,12721.67
2018-03-12,12988.86,11566.04,12796.18,694.25,8450085.83,12080.9
2018-03-13,12444.24,11779.25,12080.9,480.14,5749677.74,11972.82
2018-03-14,12235.39,10598.9,11972.82,1289.66,14608454.92,10843.69
2018-03-15,11023.44,10470.19,10846.41,1288.76,13802451.11,10771.52
2018-03-16,11363.92,10682.89,10772.45,908.75,9938473.94,11031.87
2018-03-17,11529.53,10288.24,11031.62,713.03,7573045.24,10540.55
2018-03-18,11055.26,9687.76,10541.91,1307.06,13247879.83,10882.76
2018-03-19,11483.72,10767.82,10881.34,1153.03,12586272.22,11304.89
2018-03-20,11916.17,11032.43,11304.89,607.89,6789380.22,11760.75
2018-03-21,12153.33,11382.96,11760.75,584.27,6653954.4,11634.92
2018-03-22,12246.16,11071.56,11634.92,525.24,5760557.02,11441.59
2018-03-23,11535.55,10938.04,11441.59,634.66,6924529.37,11447.65
2018-03-24,12156.02,11177.55,11447.65,241.38,2789829.14,11177.55
2018-03-25,11736.09,11031.17,11177.55,215.32,2408653.34,11203.77
2018-03-26,11259.1,10399.44,11203.77,876.7,9061362.72,10843.47
2018-03-27,10898.05,10291.12,10843.47,709.76,6994213.23,10341.38
2018-03-28,10880.36,10334.4,10341.38,514.27,5089512.93,10508.75
2018-03-29,10597.4,9328.54,10508.75,1519.78,14645374.4,9422.28
2018-03-30,9575.22,8850.52,9421.51,1011.15,9281644.72,9103.15
2018-03-31,9809.31,9051.97,9103.15,339.63,3163603.73,9204.24
2018-04-01,9406.07,8545.77,9204.24,393.65,3501858.73,8956.08
2018-04-02,9424.23,8869.31,8956.08,746.69,6730294.9,9141.17
2018-04-03,9760.45,9023.21,9141.17,936.51,8078882.45,9586.28
2018-04-04,10269.49,8761.97,9586.28,539.18,4747652.83,8860.53
2018-04-05,9112.31,8600.11,8860.53,612.62,5267257.62,8799.48
2018-04-06,8827.95,8475.77,8799.48,339.47,2776452.35,8583.44
